District,Member,Party,Prior experience,Education,Assumed office,Residence,Born
Massachusetts 6,Seth Moulton,Democratic,BusinessmanActivistU.S. Marine Corps Captain,"Harvard University (BS, MBA, MPP)",2015,Salem,1978
Massachusetts 7,Ayanna Pressley,Democratic,Boston City Council,Boston University,2019,Dorchester,1974
Massachusetts 8,Stephen F. Lynch,Democratic,Massachusetts SenateMassachusetts House of Representatives,Wentworth Institute of Technology (BS)Boston College (JD)Harvard University (MPA),2001 (special),Boston,1955
Massachusetts 9,Bill Keating,Democratic,"Massachusetts House of RepresentativesMassachusetts SenateNorfolk County, Massachusetts District Attorney","Boston College (BA, MBA)Suffolk University (JD)",2011,Bourne,1952
Michigan 1,Jack Bergman,Republican,U.S. Marine Corps Lieutenant General,Gustavus Adolphus College (BA)University of West Florida (MBA),2017,Watersmeet,1947
Michigan 2,Bill Huizenga,Republican,Michigan House of Representatives,Calvin College (BA),2011,Zeeland,1969
Michigan 3,Justin Amash,Libertarian,Michigan House of Representatives,"University of Michigan (BA, JD)",2011,Cascade Township,1980
Michigan 4,John Moolenaar,Republican,Michigan SenateMichigan House of Representatives,Hope College (BS)Harvard University (MPA),2015,Midland,1961
Michigan 5,Dan Kildee,Democratic,"Genesee County, Michigan Treasurer",University of Michigan–FlintCentral Michigan University (BS),2013,Flint Township,1958
Michigan 6,Fred Upton,Republican,U.S. government administrator,University of Michigan (BA),1987,St. Joseph,1953
Michigan 7,Tim Walberg,Republican,U.S. HouseMichigan House of Representatives,"Western Illinois UniversityMoody Bible InstituteTaylor University (BA)Wheaton College, Illinois (MA)",2011,Tipton,1951
Michigan 8,Elissa Slotkin,Democratic,Assistant Secretary of Defense for International Security Affairs,Cornell University (BA)Columbia University (MA),2019,Holly,1976
Michigan 9,Andy Levin,Democratic,Attorney,"Williams College (BA)University of Michigan, Ann Arbor (MA)Harvard University (JD)",2019,Bloomfield,1960
Michigan 10,Paul Mitchell,Republican,Businessman,Michigan State University (BA),2017,Dryden Township,1961
Michigan 11,Haley Stevens,Democratic,Presidential Task Force on the Auto Industry,"American University (BA, MA)",2019,Rochester Hills,1983
Michigan 12,Debbie Dingell,Democratic,Lobbyist,"Georgetown University (BS, MS)",2015,Dearborn,1953
Michigan 13,Rashida Tlaib,Democratic,Michigan House of Representatives,Wayne State University (BA)Thomas M. Cooley Law School (JD),2019,Detroit,1976
Michigan 14,Brenda Lawrence,Democratic,"Mayor of Southfield, Michigan",University of Detroit MercyCentral Michigan University (BA),2015,Southfield,1954
Minnesota 1,Jim Hagedorn,Republican,"Director for Legislative and Public Affairs for the Financial Management Service, United States Department of the TreasuryCongressional Affairs Officer, Bureau of Engraving and Printing",George Mason University (BA),2019,Blue Earth,1962
Minnesota 2,Angie Craig,Democratic,Medical technology executivereporter,University of Memphis (BA),2019,Eagan,1972
Minnesota 3,Dean Phillips,Democratic,Businessman,Brown University (BA)University of Minnesota (MBA),2019,Deephaven,1969
Minnesota 4,Betty McCollum,Democratic,North St. Paul City CouncilMinnesota House of Representatives,St. Catherine University (BA),2001,Saint Paul,1954
Minnesota 5,Ilhan Omar,Democratic,Minnesota House of Representatives,North Dakota State University (BA),2019,Minneapolis,1982
Minnesota 6,Tom Emmer,Republican,Minnesota House of Representatives,Boston CollegeUniversity of Alaska Fairbanks (BA)William Mitchell College of Law (JD),2015,Delano,1961
Minnesota 7,Collin Peterson,Democratic,Certified Public AccountantMinnesota Senate,Minnesota State University Moorhead (BA),1991,Detroit Lakes,1944
Minnesota 8,Pete Stauber,Republican,"St. Louis County, Minnesota County CommissionPolice lieutenantProfessional hockey player",Lake Superior State University (BA),2019,Hermantown,1966
Mississippi 1,Trent Kelly,Republican,"District attorney, Tupelo, MississippiCity prosecutorArmy National Guard Colonel","East Central Community CollegeUniversity of Mississippi (BA, JD)United States Army War College (MA)",2015 (special),Saltillo,1966
Mississippi 2,Bennie Thompson,Democratic,"Alderman and Mayor of Bolton, MississippiHinds County, Mississippi Board of Supervisors",Tougaloo College (BA)Jackson State University (MS),1993 (special),Bolton,1948
Mississippi 3,Michael Guest,Republican,"District Attorney for Madison County, Mississippi and Rankin County, Mississippi Counties",Mississippi State University (BS)University of Mississippi (JD),2019,Brandon,1970
Mississippi 4,Steven Palazzo,Republican,Mississippi House of Representatives,"University of Southern Mississippi (BA, MPA)",2011,Gulfport,1970
Missouri 1,Lacy Clay,Democratic,Missouri SenateMissouri House of Representatives,"University of Maryland, College Park (BA)",2001,St. Louis,1956
Missouri 2,Ann Wagner,Republican,U.S. Ambassador to Luxembourg,University of Missouri (BS),2013,Ballwin,1962
Missouri 3,Blaine Luetkemeyer,Republican,"Missouri House of Representatives, State Tourism Director","Lincoln University, Missouri (BA)",2009,St. Elizabeth,1952
Missouri 4,Vicky Hartzler,Republican,Missouri House of Representatives,University of Missouri (BS)University of Central Missouri (MS),2011,Harrisonville,1960
Missouri 5,Emanuel Cleaver,Democratic,"Mayor of Kansas City, MissouriPastorRadio show host",Prairie View A&M University (BS)Saint Paul School of Theology (MDiv),2005,Kansas City,1944
Missouri 6,Sam Graves,Republican,Missouri Senate,University of Missouri (BS),2001,Tarkio,1963
Missouri 7,Billy Long,Republican,Auctioneer,University of Missouri,2011,Springfield,1955
Missouri 8,Jason Smith,Republican,Missouri House of Representatives,University of Missouri (BS)Oklahoma City University (JD),2013 (special),Salem,1980
Montana at-large,Greg Gianforte,Republican,Business owner,"Stevens Institute of Technology (BS, MS)",2017 (special),Bozeman,1961
Nebraska 1,Jeff Fortenberry,Republican,"Lincoln, Nebraska city councilbusinessman",Louisiana State University (BA)Georgetown University (MPP)Franciscan University (ThM),2005,Lincoln,1960
Nebraska 2,Don Bacon,Republican,U.S. Air Force Brigadier General,Northern Illinois University (BA)University of Phoenix (MBA)National Defense University (MA),2017,Papillion,1963
Nebraska 3,Adrian Smith,Republican,"Gering, Nebraska City Council, Nebraska Legislature",Liberty UniversityUniversity of Nebraska–Lincoln (BA),2007,Gering,1970
Nevada 1,Dina Titus,Democratic,"U.S. House, Nevada Senate",College of William & Mary (BA)University of Georgia (MA)Florida State University (PhD),2013,Las Vegas,1950
Nevada 2,Mark Amodei,Republican,Nevada SenateNevada Assembly,"University of Nevada, Reno (BA)University of the Pacific (JD)",2011 (special),Carson City,1958
Nevada 3,Susie Lee,Democratic,Education advocate,"Carnegie Mellon University (BA, MS)",2019,Las Vegas,1966
Nevada 4,Steven Horsford,Democratic,"U.S. House, Nevada Senate","University of Nevada, Reno (BA)",2019,Las Vegas,1973
New Hampshire 1,Chris Pappas,Democratic,"New Hampshire Executive CouncilTreasurer of Hillsborough County, New HampshireNew Hampshire House of Representatives",Harvard University (BA),2019,Manchester,1980
New Hampshire 2,Ann McLane Kuster,Democratic,AttorneyLobbyist,Dartmouth College (BA)Georgetown University (JD),2013,Hopkinton,1956
New Jersey 1,Donald Norcross,Democratic,New Jersey SenateNew Jersey General Assembly,Camden County College,2014 (special),Camden,1958
New Jersey 2,Jeff Van Drew,Republican,New Jersey SenateNew Jersey General Assembly,"Rutgers University, New Brunswick (BS)Fairleigh Dickinson University (DMD)",2019,Dennis Township,1953
New Jersey 3,Andy Kim,Democratic,National security advisor,"Deep Springs CollegeUniversity of Chicago (BA)Magdalen College, Oxford (MPhil, PhD)",2019,Bordentown,1982
New Jersey 4,Chris Smith,Republican,Retail executive,The College of New Jersey (BS),1981,"Hamilton Township, Mercer County",1953
New Jersey 5,Josh Gottheimer,Democratic,LawyerPolitical aide,"University of Pennsylvania (BA)Pembroke College, OxfordHarvard University (JD)",2017,Wyckoff,1975
New Jersey 6,Frank Pallone,Democratic,"Long Branch, New Jersey city council, New Jersey Senate",Middlebury College (BA)Tufts University (MA)Rutgers University–Camden (JD),1988 (special),New Brunswick,1951
New Jersey 7,Tom Malinowski,Democratic,"Assistant Secretary of State for Democracy, Human Rights, and Labor","University of California, Berkeley (BA)St Antony's College, Oxford (MPhil)",2019,Rocky Hill,1965
New Jersey 8,Albio Sires,Democratic,Mayor of West New YorkNew Jersey General Assembly,Saint Peter's University (BA)Middlebury College (MA),2006 (special),West New York,1951
New Jersey 9,Bill Pascrell,Democratic,"New Jersey General Assembly, Mayor of Paterson, New Jersey","Fordham University (BA, MA)",1997,Paterson,1937
New Jersey 10,Donald Payne Jr.,Democratic,"Newark, New Jersey Municipal Council, Essex County, New Jersey Freeholder",Kean University,2012 (special),Newark,1958
New Jersey 11,Mikie Sherrill,Democratic,Assistant United States Attorney for the District of New JerseyU.S. Navy helicopter pilot,United States Naval Academy (BS)London School of Economics (MSc)Georgetown University (JD),2019,Montclair,1972
New Jersey 12,Bonnie Watson Coleman,Democratic,New Jersey General Assembly,Rutgers UniversityThomas Edison State University (BA),2015,Ewing Township,1945
New Mexico 1,Deb Haaland,Democratic,Chair of the New Mexico Democratic Party,"University of New Mexico, Albuquerque (BA, JD)",2019,Albuquerque,1960
New Mexico 2,Xochitl Torres Small,Democratic,Attorney,"Georgetown University (BA)University of New Mexico, Albuquerque (JD)",2019,Las Cruces,1984
New Mexico 3,Ben Ray Luján,Democratic,New Mexico Public Regulation Commissioner,University of New MexicoNew Mexico Highlands University (BA),2009,Santa Fe,1972
New York 1,Lee Zeldin,Republican,New York Senate,"University at Albany, SUNY (BA)Union University, New York (JD)",2015,Shirley,1980
New York 2,Peter T. King,Republican,"Hempstead Town Council, Nassau County, New York Comptroller",St. Francis College (BA)University of Notre Dame (JD),1993,Seaford,1944
New York 3,Thomas Suozzi,Democratic,"County Executive of Nassau County, New York, Mayor of Glen Cove, New York",Boston College (BA)Fordham University (JD),2017,Glen Cove,1962
New York 4,Kathleen Rice,Democratic,"District Attorney of Nassau County, New York",Catholic University (BA)Touro College (JD),2015,Garden City,1965
New York 5,Gregory Meeks,Democratic,New York State Assembly,Adelphi University (BA)Howard University (JD),1998 (special),Jamaica,1953
New York 6,Grace Meng,Democratic,New York State Assembly,University of Michigan (BA)Yeshiva University (JD),2013,"Flushing, Queens",1975
New York 7,Nydia Velázquez,Democratic,"Director, Dept. of Puerto Rican Community Affairs","University of Puerto Rico, Río Piedras (BA)New York University (MA)",1993,"Sunset Park, Brooklyn",1953
New York 8,Hakeem Jeffries,Democratic,New York State Assembly,Binghamton University (BA)Georgetown University (MPP)New York University (JD),2013,"Prospect Heights, Brooklyn",1970
New York 9,Yvette Clarke,Democratic,New York City Council,Oberlin CollegeMedgar Evers College,2007,"Flatbush, Brooklyn",1964
New York 10,Jerry Nadler,Democratic,New York State Assembly,Columbia University (BA)Fordham University (JD),1992 (special),"Chelsea, Manhattan",1947
New York 11,Max Rose,Democratic,U.S. Army,Wesleyan University (BA)London School of Economics (MS),2019,Staten Island,1986
New York 12,Carolyn Maloney,Democratic,New York City Council,Greensboro College (BA),1993,"East Harlem, Manhattan",1946
New York 13,Adriano Espaillat,Democratic,New York State SenateNew York State Assembly,"Queens College, City University of New York (BA)",2017,"Inwood, Manhattan",1954
New York 14,Alexandria Ocasio-Cortez,Democratic,Organizer for Bernie Sanders's 2016 presidential campaign,Boston University (BA),2019,Bronx,1989
New York 15,José E. Serrano,Democratic,New York State Assembly,Lehman College,1990 (special),"Concourse, Bronx",1943
New York 16,Eliot Engel,Democratic,"High school teacher, New York State Assembly","Lehman College (BA, MA)New York Law School (JD)",1989,"Riverdale, Bronx",1947
New York 17,Nita Lowey,Democratic,New York Assistant Secretary of State,Mount Holyoke College (BA),1989,Harrison,1937
New York 18,Sean Patrick Maloney,Democratic,Attorney,"Georgetown UniversityUniversity of Virginia (BA, JD)",2013,Carmel,1966
New York 19,Antonio Delgado,Democratic,Attorney,"Colgate University (BA)Queen's College, OxfordHarvard University (JD)",2019,Rhinebeck,1977
New York 20,Paul Tonko,Democratic,New York State Assembly,Clarkson University (BS),2009,Amsterdam,1949
New York 21,Elise Stefanik,Republican,"Civil servant, political activist",Harvard University (BA),2015,Schuylerville,1984
New York 22,Anthony Brindisi,Democratic,New York State Assembly,Mohawk Valley Community CollegeSiena College (BA)Albany Law School (JD),2019,Utica,1978
New York 23,Tom Reed,Republican,"Mayor of Corning (city), New York",Alfred University (BA)Ohio Northern University (JD),2010 (special),Corning,1971
New York 24,John Katko,Republican,"Attorney, Prosecutor U.S. Attorney's Office",Niagara University (BA)Syracuse University (JD),2015,Camillus,1962
New York 25,Joseph Morelle,Democratic,New York State Assembly,State University of New York at Geneseo (BA),2018 (special),Irondequoit,1957
New York 26,Brian Higgins,Democratic,Buffalo Common CouncilNew York State Assembly,"Buffalo State College (BA, MA)Harvard University (MPA)",2005,Buffalo,1959
New York 27,Chris Jacobs,Republican,New York State SenateSecretary of State of New YorkErie County Clerk,Boston College (BA)American University (MA)University at Buffalo (JD),2020 (special),Orchard Park,1966
North Carolina 1,G. K. Butterfield,Democratic,North Carolina Supreme Court Justice,"North Carolina Central University (BA, JD)",2004 (special),Wilson,1947
North Carolina 2,George Holding,Republican,U.S. Attorney for Eastern North Carolina,"Wake Forest University (BA, JD)",2013,Raleigh,1968
North Carolina 3,Greg Murphy,Republican,North Carolina House of Representatives,Davidson College (BA)University of North Carolina at Chapel Hill (MD),2019 (special),Greenville,1963
North Carolina 4,David Price,Democratic,"U.S. House, College professor","Mars Hill UniversityUniversity of North Carolina at Chapel Hill (BA)Yale University (BDiv, PhD)",1997,Chapel Hill,1940
North Carolina 5,Virginia Foxx,Republican,North Carolina Senate,"University of North Carolina at Chapel Hill (BA)University of North Carolina at Greensboro (MA, EdD)",2005,Banner Elk,1943
North Carolina 6,Mark Walker,Republican,Southern Baptist pastor,Trinity Baptist CollegePiedmont International University (BA),2015,Greensboro,1969
North Carolina 7,David Rouzer,Republican,North Carolina Senate,North Carolina State University (BS),2015,McGee Crossroads,1972
North Carolina 8,Richard Hudson,Republican,Businessman,University of North Carolina at Charlotte (BA),2013,Concord,1971
North Carolina 9,Dan Bishop,Republican,North Carolina SenateNorth Carolina House of Representatives Mecklenburg County Commission,"University of North Carolina at Chapel Hill (BS, JD)",2019 (special),Charlotte,1964
North Carolina 10,Patrick McHenry,Republican,North Carolina House of Representatives,North Carolina State UniversityBelmont Abbey College (BA),2005,Cherryville,1975
North Carolina 11,Vacant,,,,,,
North Carolina 12,Alma Adams,Democratic,North Carolina House of Representatives,"North Carolina A&T State University (BS, MS)Ohio State University (PhD)",2014 (special),Charlotte,1946
North Carolina 13,Ted Budd,Republican,Businessman,Appalachian State University (BS)Dallas Theological Seminary (MA)Wake Forest University (MBA),2017,Advance,1971
North Dakota at-large,Kelly Armstrong,Republican,"North Dakota Senate, Chair of the North Dakota Republican Party","University of North Dakota (BA, JD)",2019,Dickinson,1976
Ohio 1,Steve Chabot,Republican,"Cincinnati City CouncilHamilton County, Ohio CommissionerU.S. House",College of William & Mary (BA)Northern Kentucky University (JD),2011,Cincinnati,1953
Ohio 2,Brad Wenstrup,Republican,Physician,"University of Cincinnati (BA)Rosalind Franklin University (BS, DPM)",2013,Cincinnati,1958
Ohio 3,Joyce Beatty,Democratic,Ohio House of Representatives,Central State University (BA)Wright State University (MS)University of Cincinnati,2013,Columbus,1950
Ohio 4,Jim Jordan,Republican,Ohio SenateOhio House of Representatives,University of Wisconsin–Madison (BS)Ohio State University (MA)Capital University (JD),2007,Lima,1964
Ohio 5,Bob Latta,Republican,"Wood County, Ohio CommissionerOhio House of RepresentativesOhio Senate",Bowling Green State University (BA)University of Toledo (JD),2007,Bowling Green,1956
Ohio 6,Bill Johnson,Republican,United States Air Force,Troy University (BS)Georgia Institute of Technology (MS),2011,Marietta,1954
Ohio 7,Bob Gibbs,Republican,Ohio SenateOhio House of Representatives,"Ohio State University, Wooster",2011,"Washington Township, Holmes County",1954
Ohio 8,Warren Davidson,Republican,Businessman,United States Military Academy (BS)University of Notre Dame (MBA),2016 (special),Troy,1970
Ohio 9,Marcy Kaptur,Democratic,"Domestic Policy Advisor, Carter Adm.",University of Wisconsin–Madison (BA)University of Michigan (MUP)Massachusetts Institute of Technology,1983,Toledo,1946
Ohio 10,Mike Turner,Republican,"Mayor of Dayton, Ohio",Ohio Northern University (BA)Case Western Reserve University (JD)University of Dayton (MBA),2003,Dayton,1960
Ohio 11,Marcia Fudge,Democratic,"Mayor of Warrensville Heights, Ohio",Ohio State University (BS)Cleveland State University (JD),2008 (special),Cleveland,1952
Ohio 12,Troy Balderson,Republican,Ohio Senate,Muskingum UniversityOhio State University,2018 (special),Zanesville,1962
Ohio 13,Tim Ryan,Democratic,Ohio Senate,"Youngstown State UniversityBowling Green State University (BA)University of New Hampshire, Concord (JD)",2003,Niles,1973
Ohio 14,David Joyce,Republican,"Geauga County, Ohio Prosecutor","University of Dayton (BS, JD)",2013,Richmond Heights,1957
Ohio 15,Steve Stivers,Republican,Ohio Senate,"Ohio State University (BA, MBA)United States Army War College (MA)",2011,Columbus,1965
Ohio 16,Anthony Gonzalez,Republican,Football player,Ohio State University (BA)Stanford University (MBA),2019,Rocky River,1984
Oklahoma 1,Kevin Hern,Republican,Businessman,"Arkansas Tech University (BS)Georgia Institute of TechnologyUniversity of Arkansas, Little Rock (MBA)",2018 (special),Tulsa,1961
Oklahoma 2,Markwayne Mullin,Republican,Businessman,"Missouri Valley CollegeOklahoma State University, Okmulgee",2013,Westville,1977
Oklahoma 3,Frank Lucas,Republican,Oklahoma House of Representatives,Oklahoma State University–Stillwater (BS),1994 (special),Enid,1960
Oklahoma 4,Tom Cole,Republican,Oklahoma SenateOklahoma Secretary of StateCollege professor,Grinnell College (BA)Yale University (MA)University of Oklahoma (PhD),2003,Moore,1949
Oklahoma 5,Kendra Horn,Democratic,Lawyeractivist,University of Tulsa (BA)Southern Methodist University (JD),2019,Oklahoma City,1976
Oregon 1,Suzanne Bonamici,Democratic,Oregon House of RepresentativesOregon State Senate,"Lane Community CollegeUniversity of Oregon (BA, JD)",2012 (special),Beaverton,1954
Oregon 2,Greg Walden,Republican,Oregon House of RepresentativesOregon State Senate,University of Oregon (BS),1999,Hood River,1957
Oregon 3,Earl Blumenauer,Democratic,"Oregon House of RepresentativesMultnomah County, Oregon CommissionerPortland, Oregon City Commissioner","Lewis & Clark College (BA, JD)",1996 (special),Portland,1948
Oregon 4,Peter DeFazio,Democratic,"Lane County, Oregon Commissioner",Tufts University (BA)University of Oregon (MA),1987,Springfield,1947
Oregon 5,Kurt Schrader,Democratic,VeterinarianOregon State Senate,"Cornell University (BA)University of Illinois at Urbana–Champaign (BS, DVM)",2009,Canby,1951
Pennsylvania 1,Brian Fitzpatrick,Republican,FBI agentspecial Assistant U.S. Attorney,"La Salle University (BS)Pennsylvania State University (MBA)Pennsylvania State University, Carlisle (JD)",2017,Levittown,1973
Pennsylvania 2,Brendan Boyle,Democratic,Pennsylvania House of Representatives,University of Notre Dame (BA)Harvard University (MPP),2015,Philadelphia,1977
Pennsylvania 3,Dwight Evans,Democratic,Pennsylvania House of Representatives,Community College of Philadelphia (AA)La Salle University (BA),2016 (special),Philadelphia,1954
Pennsylvania 4,Madeleine Dean,Democratic,Pennsylvania House of Representatives,La Salle University (BA)Widener University (JD),2019,"Abington Township, Montgomery County",1959
Pennsylvania 5,Mary Gay Scanlon,Democratic,Attorney,Colgate University (BA)University of Pennsylvania (JD),2018 (special),Swarthmore,1959
Pennsylvania 6,Chrissy Houlahan,Democratic,EntrepreneurU.S. Air Force,Stanford University (BS)Massachusetts Institute of Technology (MS),2019,Devon,1967
Pennsylvania 7,Susan Wild,Democratic,"Solicitor of Allentown, Pennsylvania",American University (BA)George Washington University (JD),2018 (special),South Whitehall Township,1957
Pennsylvania 8,Matt Cartwright,Democratic,Attorney,"Hamilton College, New York (BA)University of Pennsylvania (JD)",2013,Moosic,1961
Pennsylvania 9,Dan Meuser,Republican,Secretary of Revenue of Pennsylvania,State University of New York Maritime CollegeCornell University,2019,Dallas,1964
Pennsylvania 10,Scott Perry,Republican,Pennsylvania House of RepresentativesbusinessmanU.S. Army,Pennsylvania State University (BS)United States Army War College (MS),2013,Harrisburg,1962
Pennsylvania 11,Lloyd Smucker,Republican,Pennsylvania Senate,Lebanon Valley CollegeFranklin and Marshall College,2017,West Lampeter Township,1964
Pennsylvania 12,Fred Keller,Republican,Pennsylvania House of Representatives,–,2019 (special),"Middlecreek Township, Snyder County",1965
Pennsylvania 13,John Joyce,Republican,Dermatologist,"Pennsylvania State University, AltoonaPennsylvania State University, University Park (BS)Temple University (MD)",2019,Altoona,1957
Pennsylvania 14,Guy Reschenthaler,Republican,Pennsylvania SenateJudgeU.S. Navy,"Pennsylvania State University, Behrend (BA)Duquesne University (JD)",2019,Jefferson Hills,1983
Pennsylvania 15,Glenn Thompson,Republican,Chair of the Centre County Republican Committee,Pennsylvania State University (BS)Temple University (MEd),2009,Oil City,1959
Pennsylvania 16,Mike Kelly,Republican,"Butler, Pennsylvania City Council",University of Notre Dame (BA),2011,Butler,1948
Pennsylvania 17,Conor Lamb,Democratic,Assistant U.S. Attorney for the Western District of PennsylvaniaU.S. Marine Corps,"University of Pennsylvania (BA, JD)",2018 (special),Mt. Lebanon,1984
Pennsylvania 18,Mike Doyle,Democratic,Pennsylvania State Senate Chief of Staff,Pennsylvania State University (BS),1995,Pittsburgh,1953
Rhode Island 1,David Cicilline,Democratic,"Mayor of Providence, Rhode IslandRhode Island House of Representatives",Brown University (BA)Georgetown University (JD),2011,Providence,1961
Rhode Island 2,James Langevin,Democratic,Secretary of State of Rhode IslandRhode Island House of Representatives,Rhode Island College (BA)Harvard University (MPA),2001,Warwick,1964
South Carolina 1,Joe Cunningham,Democratic,AttorneyOcean engineer,College of CharlestonFlorida Atlantic University (BS)Northern Kentucky University (JD),2019,Charleston,1982
South Carolina 2,Joe Wilson,Republican,South Carolina Senate,Washington and Lee University (BA)University of South Carolina (JD),2001 (special),West Columbia,1947
South Carolina 3,Jeff Duncan,Republican,South Carolina House of Representatives,Clemson University (BA),2011,Laurens,1966
South Carolina 4,William Timmons,Republican,Attorneyentrepreneur,"George Washington University (BA)University of South Carolina (MA, JD)",2019,Greenville,1984
South Carolina 5,Ralph Norman,Republican,"Real estate developer, South Carolina House of Representatives",Presbyterian College (BS),2017 (special),Rock Hill,1953
South Carolina 6,Jim Clyburn,Democratic,Political aideteacher,South Carolina State University (BA),1993,Columbia,1940
South Carolina 7,Tom Rice,Republican,"Attorneybusinessman, Horry County, South Carolina Chair","University of South Carolina (BS, MA, JD)",2013,Myrtle Beach,1957
South Dakota at-large,Dusty Johnson,Republican,Chief of Staff to the Governor of South DakotaSouth Dakota Public Utilities Commission,University of South Dakota (BA)University of Kansas (MPA),2019,Mitchell,1976
Tennessee 1,Phil Roe,Republican,"OB/GYN, Mayor of Johnson City, Tennessee",Austin Peay State University (BS)University of Tennessee (MD),2009,Johnson City,1945
Tennessee 2,Tim Burchett,Republican,"Mayor of Knox County, TennesseeTennessee SenateTennessee House of Representatives","University of Tennessee,Knoxville (BS)",2019,Knoxville,1964
Tennessee 3,Chuck Fleischmann,Republican,Attorney,University of Illinois at Urbana–Champaign (BA)University of Tennessee (JD),2011,Ooltewah,1962
Tennessee 4,Scott DesJarlais,Republican,Physician,"University of South Dakota (BS, MD)",2011,South Pittsburg,1964
Tennessee 5,Jim Cooper,Democratic,U.S. HouseCollege professor,"University of North Carolina at Chapel Hill (BA)Oriel College, Oxford (MA)Harvard University (JD)",2003,Nashville,1954
Tennessee 6,John Rose,Republican,Commissioner of Agriculture of Tennessee,"Tennessee Technological University (BS)Purdue University, West Lafayette (MS)Vanderbilt University (JD)",2019,Cookeville,1965
Tennessee 7,Mark E. Green,Republican,Tennessee Senate,United States Military Academy (BS)University of Southern California (MA)Wright State University (MD),2019,Clarksville,1964
Tennessee 8,David Kustoff,Republican,Attorney for the United States District Court for the Western District of Tennessee,"University of Memphis (BA, JD)",2017,Memphis,1966
Tennessee 9,Steve Cohen,Democratic,"Tennessee Senate, Attorney",Vanderbilt University (BA)University of Memphis (JD),2007,Memphis,1949
Texas 1,Louie Gohmert,Republican,Texas appeals court judge,Texas A&M University (BA)Baylor University (JD),2005,Tyler,1953
Texas 2,Dan Crenshaw,Republican,U.S. Navy SEAL,Tufts University (BA)Harvard University (MPA),2019,Spring,1984
Texas 3,Van Taylor,Republican,Texas SenateTexas House of Representatives,"Harvard University (BA, MBA)",2019,Plano,1972
Texas 4,Vacant,,,,,,
Texas 5,Lance Gooden,Republican,Texas House of Representatives,"University of Texas, Austin (BA, BBA)",2019,Kaufman,1982
Texas 6,Ron Wright,Republican,"Tarrant County Tax AssessorChief of Staff to Rep. Joe BartonArlington, Texas City Council","University of Texas, Arlington",2019,Arlington,1953
Texas 7,Lizzie Pannill Fletcher,Democratic,Attorney,Kenyon College (BA)College of William and Mary (JD),2019,Houston,1975
Texas 8,Kevin Brady,Republican,Texas House of Representatives,University of South Dakota (BA),1997,The Woodlands,1955
Texas 9,Al Green,Democratic,"Harris County, Texas Justice of the Peace, Houston NAACP president",Florida A&M UniversityTuskeegee University (BA)Texas Southern University (JD),2005,Houston,1947
Texas 10,Michael McCaul,Republican,AttorneyFederal prosecutor,"Trinity University (BA)St. Mary's University, Texas (JD)",2005,West Lake Hills,1962
Texas 11,Mike Conaway,Republican,Oil exploration executive,Texas A&M University–Commerce (BA),2005,Midland,1948
Texas 12,Kay Granger,Republican,Mayor of Fort Worth,Texas Wesleyan University (BA),1997,Fort Worth,1943
Texas 13,Mac Thornberry,Republican,RancherAttorney,Texas Tech University (BA)University of Texas at Austin (JD),1995,Clarendon,1958
Texas 14,Randy Weber,Republican,"Texas House of RepresentativesPearland, Texas City Council",Alvin Community CollegeUniversity of Houston–Clear Lake (BS),2013,Alvin,1953
Texas 15,Vicente Gonzalez,Democratic,"Food processing executive, Texas State Board of Education",Embry–Riddle Aeronautical University (BA)Texas Wesleyan University (JD),2017,McAllen,1967
Texas 16,Veronica Escobar,Democratic,"El Paso County, Texas CommissionEl Paso County Judge","University of Texas, El Paso (BA)New York University (MA)",2019,El Paso,1969
Texas 17,Bill Flores,Republican,Businessman,Texas A&M University (BA)Houston Baptist University(MBA),2011,Bryan,1954
Texas 18,Sheila Jackson Lee,Democratic,Houston City CouncilMunicipal judge,Yale University (BA)University of Virginia (JD),1995,Houston,1950
Texas 19,Jodey Arrington,Republican,EducatorPublic administratorWhite House aide,"Texas Tech University (BA, MPA)",2017,Lubbock,1972
Texas 20,Joaquin Castro,Democratic,Texas House of Representatives,Stanford University (BA)Harvard University (JD),2013,San Antonio,1974
Texas 21,Chip Roy,Republican,First Assistant Attorney General of Texas,"University of Virginia (BS, MS)University of Texas, Austin (JD)",2019,Austin,1972
Texas 22,Pete Olson,Republican,Congressional aide,Rice University (BA)University of Texas at Austin (JD),2009,Sugar Land,1962
Texas 23,Will Hurd,Republican,Corporate adviserCIA operative,Texas A&M University (BS),2015,Helotes,1977
Texas 24,Kenny Marchant,Republican,"Mayor of Carrollton, TexasTexas House of Representatives",Southern Nazarene University (BA)Nazarene Theological Seminary,2005,Coppell,1951
Texas 25,Roger Williams,Republican,Secretary of State of Texas,Texas Christian University (BA),2013,Weatherford,1949
Texas 26,Michael C. Burgess,Republican,Physician,"University of North Texas (BS, MS)University of Texas, Houston (MD)University of Texas at Dallas (MS)",2003,Lewisville,1950
Texas 27,Michael Cloud,Republican,Chair of the Victoria County Republican Party,Oral Roberts University (BS),2018 (special),Victoria,1975
Texas 28,Henry Cuellar,Democratic,Texas House of RepresentativesTexas Secretary of State,"Laredo Community CollegeGeorgetown University (BA)University of Texas at Austin (JD, PhD)Texas A&M International University (MA)",2005,Laredo,1955
Texas 29,Sylvia Garcia,Democratic,Texas Senate,Texas Woman's University (BA)Texas Southern University (JD),2019,Houston,1950
